model,roc_auc_mean,roc_auc_std,roc_auc_ci_lower,roc_auc_ci_upper,accuracy_mean,accuracy_std,accuracy_ci_lower,accuracy_ci_upper,precision_mean,precision_std,precision_ci_lower,precision_ci_upper,recall_mean,recall_std,recall_ci_lower,recall_ci_upper,f1_score_mean,f1_score_std,f1_score_ci_lower,f1_score_ci_upper
xgb,0.8009305213705784,0.06499757541415316,0.6573937908496732,0.9177671513269339,0.7457234042553191,0.06477526354143867,0.6170212765957447,0.8723404255319149,0.6678467468219966,0.10521416392738876,0.4582386363636364,0.8636363636363636,0.7348903348626813,0.10398008411877474,0.521658615136876,0.9333333333333333,0.6943503897874871,0.08676685877642745,0.5142490842490842,0.8444444444444444
cb,0.7864149900496595,0.06848318421820757,0.6434760101010101,0.9054910714285714,0.7252553191489362,0.06334364874338186,0.5957446808510638,0.851063829787234,0.6374589424537495,0.10253115335412905,0.4374320652173913,0.8421052631578947,0.7375646129912797,0.10076856624061288,0.5294117647058824,0.9285714285714286,0.6784541872709446,0.08292465492981162,0.5,0.8260869565217391
lgbm,0.8071473774681556,0.06319337602358127,0.6762346848553744,0.9194233630952382,0.7247446808510638,0.0653196028815053,0.5957446808510638,0.851063829787234,0.6709577660004281,0.11430748630771813,0.44427083333333334,0.8825163398692809,0.6307615970842765,0.11580385666475775,0.4,0.85,0.6432551781851061,0.09448068750936825,0.45161290322580644,0.8085106382978723
gb,0.7885151766399502,0.06598705405503025,0.6431094720496894,0.9056018518518518,0.7245531914893618,0.06587188685313083,0.5957446808510638,0.851063829787234,0.6281380009880879,0.09824162200640053,0.4374320652173913,0.8096560846560845,0.7852203917640392,0.09733265325226759,0.5882352941176471,0.9523809523809523,0.6929359016095168,0.08109425688737062,0.5128205128205128,0.8363636363636363
rf,0.8107304502326311,0.06322244868388169,0.6742945726384927,0.9203280632411066,0.749063829787234,0.06312936268310501,0.6170212765957447,0.8723404255319149,0.6696809347671351,0.10455506392416897,0.45454545454545453,0.8666666666666667,0.7444933685654057,0.09971550068387254,0.5384615384615384,0.9375,0.6996506608135423,0.08311579265207811,0.5161290322580645,0.8444444444444444
nb,0.7968087925774485,0.0704020421270267,0.6478419384057972,0.9214249288425046,0.7241489361702128,0.06772436012453682,0.5957446808510638,0.851063829787234,0.6078198985293827,0.09615418200935363,0.41935483870967744,0.7857142857142857,0.8995105750810417,0.07434425668047677,0.7333333333333333,1.0,0.7207140979354068,0.07807304005353077,0.5555555555555556,0.8571428571428571
svm,0.7138117714829947,0.08029138156471265,0.5526120857699804,0.8697612330198535,0.6374468085106382,0.07033001171448194,0.5101063829787233,0.7659574468085106,0.5402131549585174,0.09934843333827063,0.34609375,0.7274242424242423,0.7361853145630923,0.1014597458115402,0.5383333333333333,0.9232142857142857,0.6178058761413363,0.08682418393594049,0.43898628048780486,0.7755102040816326
knn,0.772801859589194,0.06817396307177293,0.6327272727272727,0.8931849533106961,0.7462978723404255,0.06323203799692052,0.6170212765957447,0.8723404255319149,0.6551796673322933,0.0993576778370087,0.45454545454545453,0.8501785714285712,0.7905660485575634,0.09278414179687201,0.6,0.9523809523809523,0.7114277406646725,0.07909569786977355,0.5498863636363637,0.851063829787234
lr,0.7636425044876374,0.07251791779580698,0.6092550505050506,0.8910244360902255,0.6813829787234043,0.0688730174346733,0.5319148936170213,0.8085106382978723,0.6041357966451513,0.1090234755518061,0.3997826086956522,0.8125,0.6388727837317159,0.10997902496854328,0.4209429824561403,0.8421052631578947,0.615182070091525,0.09213916404210379,0.42099143206854345,0.7755668934240362
